sigma,F_meas,F_fit,residual
1143.581,-1.63523222096625,0.338451109169356,-1.97368333013561
1144.063,-1.63705898937508,0.337350637640924,-1.974409627016
1144.545,-1.61673497248684,0.336194577303873,-1.95292954979072
1145.027,-1.57869436200142,0.334983106795135,-1.91367746879656
1145.509,-1.5470281934901,0.33371641324867,-1.88074460673877
1145.991,-1.51384452539576,0.332394692266765,-1.84623921766253
1146.473,-1.49701537003302,0.331018147890045,-1.82803351792306
1146.956,-1.46921784623494,0.329583966748115,-1.79880181298305
1147.438,-1.46011131778342,0.328098308691998,-1.78820962647542
1147.92,-1.42585626641706,0.326558490157709,-1.75241475657477
1148.402,-1.3850224869384,0.324964748630648,-1.70998723556905
1148.884,-1.34942521702236,0.323317329865188,-1.67274254688755
1149.366,-1.33027710021635,0.321616487846987,-1.65189358806334
1149.848,-1.28842013794046,0.319862484754044,-1.60828262269451
1150.33,-1.25640856948753,0.318055590916487,-1.57446416040402
1150.812,-1.22646408502333,0.316196084775124,-1.54266016979845
1151.295,-1.18858034359113,0.314280232192897,-1.50286057578402
1151.777,-1.16301490170482,0.312316261357365,-1.47533116306219
1152.259,-1.12666091471909,0.310300562407242,-1.43696147712633
1152.741,-1.08699379329238,0.308233445803136,-1.39522723909552
1153.223,-1.05028667895673,0.306115229890442,-1.35640190884717
1153.705,-1.03885002011786,0.303946240850518,-1.34279626096838
1154.187,-0.984894324055352,0.301726812650672,-1.28662113670602
1154.669,-0.935860785922753,0.299457286992941,-1.23531807291569
1155.152,-0.909498704365378,0.297133150023874,-1.20663185438925
1155.634,-0.855269506059745,0.294764383137554,-1.1500338891973
1156.116,-0.813658056563396,0.292346590542233,-1.10600464710563
1156.598,-0.777426735526774,0.289880144358693,-1.06730687988547
1157.08,-0.738364755474954,0.287365424168638,-1.02573017964359
1157.562,-0.677620806807768,0.284802816956475,-0.962423623764243
1158.044,-0.635662316799932,0.282192717049985,-0.917855033849918
1158.526,-0.579194283601156,0.279535526059858,-0.858729809661014
1159.009,-0.534408907605306,0.276825994883863,-0.811234902489169
1159.491,-0.498471447367148,0.27407575983031,-0.772547207197458
1159.973,-0.43330904081024,0.271279682486266,-0.704588723296506
1160.455,-0.408304971585423,0.268438192981644,-0.676743164567067
1160.937,-0.368007546219195,0.2655517284102,-0.633559274629394
1161.419,-0.314586036113871,0.262620732762531,-0.577206768876402
1161.901,-0.26624551654767,0.259645656857969,-0.525891173405639
1162.383,-0.218366476674889,0.256626958275454,-0.474993434950343
1162.865,-0.162068655526015,0.253565101283372,-0.415633756809387
1163.348,-0.126333579891648,0.250454071761171,-0.376787651652819
1163.83,-0.088789131715556,0.247307230083872,-0.336096361799428
1164.312,-0.0317836237825446,0.244118663232421,-0.275902287014966
1164.794,0.0128451323710888,0.240888861524128,-0.22804372915304
1165.276,0.0448715733322373,0.237618321599575,-0.192746748267338
1165.758,0.115371055810796,0.234307546346454,-0.118936490535658
1166.24,0.154540926639575,0.230957044822461,-0.0764161181828864
1166.722,0.186652510774158,0.227567332177229,-0.0409148214030709
1167.204,0.255025349292762,0.224138929573323,0.0308864197194384
1167.687,0.280620518257775,0.22066513276034,0.0599553854974356
1168.169,0.349648163826132,0.217160859865693,0.132487303960438
1168.651,0.385805761580746,0.213619496897601,0.172186264683146
1169.133,0.422987081089381,0.210041588273868,0.212945492815514
1169.615,0.477034642041781,0.206427684016504,0.270606958025277
1170.097,0.518266134249579,0.202778339667364,0.315487794582215
1170.579,0.557661307646125,0.199094116202959,0.358567191443166
1171.061,0.595711672286393,0.195375579948449,0.400336092337945
1171.543,0.655032348346838,0.191623302490771,0.463409045856067
1172.026,0.661477312178533,0.187829972905543,0.473647339272991
1172.508,0.733438963156861,0.184011881420027,0.549427081736834
1172.99,0.786771806647613,0.180161795405089,0.606610011242524
1173.472,0.809986253312131,0.176280306620532,0.633705946691598
1173.954,0.853370403932617,0.172368011641711,0.681002392290906
1174.436,0.905546659411966,0.168425511768042,0.737121147643924
1174.918,0.935648080773671,0.164453412930784,0.771194667842887
1175.4,0.997539519161668,0.16045232560014,0.837087193561528
1175.883,1.01795513596374,0.156414475748854,0.861540660214891
1176.365,1.05600305206907,0.152357203594178,0.903645848474895
1176.847,1.09081253919127,0.148272801948778,0.942539737242489
1177.329,1.13746753895507,0.144161898504242,0.993305640450825
1177.811,1.19992480310503,0.140025125016148,1.05989967808888
1178.293,1.2172815335054,0.135863117207194,1.0814184162982
1178.775,1.24497270213999,0.131676514669703,1.11329618747029
1179.257,1.27179856111206,0.127465960767545,1.14433260034451
1179.74,1.3170383464018,0.123223294825207,1.19381505157659
1180.222,1.35106321129217,0.118966736556981,1.23209647473519
1180.704,1.41547164338436,0.114688180016155,1.30078346336821
1181.186,1.42933338525834,0.110388282667549,1.31894510259079
1181.668,1.46126735961288,0.106067705248537,1.35519965436434
1182.15,1.50337221926541,0.101727111667736,1.40164510759767
1182.632,1.52809596715194,0.0973671689032118,1.43072879824873
1183.114,1.57916481632688,0.0929885469001665,1.48617626942671
1183.596,1.60892095996293,0.0885919184682327,1.5203290414947
1184.079,1.64742649561087,0.084168784041083,1.56325771156979
1184.561,1.65962682517812,0.0797381382794331,1.57988868689869
1185.043,1.69438372927458,0.0752915220854545,1.61909220718912
1185.525,1.73069597154509,0.0708296186955383,1.65986635284956
1186.007,1.73266278575221,0.0663531136903308,1.66630967206188
1186.489,1.786531955776,0.0618626948896061,1.7246692608864
1186.971,1.82832584561393,0.0573590522467804,1.77096679336715
1187.453,1.83468251938076,0.0528428777431273,1.78183964163763
1187.936,1.8626802574468,0.0483054592417297,1.81437479820507
1188.418,1.90647336764076,0.0437662821484664,1.8627070854923
1188.9,1.91077703465379,0.0392166616913075,1.87156037296248
1189.382,1.94140791306877,0.03465729690212,1.90675061616665
1189.864,1.97068087758525,0.0300888883070427,1.94059198927821
1190.346,1.99679872301931,0.0255121378190538,1.97128658520026
1190.828,2.00713276430345,0.0209277486303533,1.98620501567309
1191.31,2.05575141648642,0.0163364251045082,2.03941499138191
1191.792,2.06126784473316,0.0117388726684615,2.0495289720647
1192.275,2.09142975680928,0.00712624250610632,2.08430351430317
1192.757,2.11980136749793,0.0025183429883461,2.11728302450959
1193.239,2.12025625028642,-0.00209366239158213,2.122349912678
1193.721,2.13702249080326,-0.00670906503522683,2.14373155583848
1194.203,2.16927476479254,-0.0113271558231683,2.18060192061571
1194.685,2.17700910811375,-0.015947225223766,2.19295633333752
1195.167,2.18119395674166,-0.0205685634019711,2.20176252014363
1195.649,2.19882512676619,-0.0251904603281605,2.22401558709435
1196.131,2.20206404439231,-0.0298122058870383,2.23187625027934
1196.614,2.21576580223762,-0.0344426754949556,2.25020847773257
1197.096,2.22767990711546,-0.0390619841769795,2.26674189129244
1197.578,2.22520107874648,-0.0436790102484843,2.26888008899497
1198.06,2.23091360379478,-0.0482930443410984,2.27920664813588
1198.542,2.24305769903888,-0.0529033775452745,2.29596107658415
1199.024,2.25238473137156,-0.0575093015189776,2.30989403289054
1199.506,2.27810521779981,-0.0621101085963289,2.34021532639614
1199.988,2.27926255544464,-0.0667050918961065,2.34596764734075
1200.47,2.28927060154099,-0.071293545430152,2.36056414697115
1200.953,2.28848043118956,-0.0758842608059258,2.36436469199549
1201.435,2.29359011796076,-0.0804575237564145,2.37404764171717
1201.917,2.31900595542041,-0.0850221439604615,2.40402809938087
1202.399,2.29516451125815,-0.0895774200860191,2.38474193134417
1202.881,2.31098162327688,-0.094122652233944,2.40510427551083
1203.363,2.31642666939272,-0.0986571420453067,2.41508381143802
1203.845,2.3197467076348,-0.103180192808494,2.4229269004433
1204.327,2.31084284614524,-0.107691109566043,2.41853395571128
1204.81,2.31444104978193,-0.112198517543903,2.42663956732583
1205.292,2.29367788412353,-0.116683060203845,2.41036094432737
1205.774,2.29599993368785,-0.121153394147595,2.41715332783545
1206.256,2.30222610706773,-0.125608832501699,2.42783493956943
1206.738,2.28763316296833,-0.130048690676909,2.41768185364524
1207.22,2.27500935020699,-0.134472286473163,2.40948163668016
1207.702,2.26966299771315,-0.138878940184201,2.40854193789735
1208.184,2.26253282452817,-0.143267974701796,2.40580079922997
1208.667,2.26404354575046,-0.14764776406426,2.41169130981472
1209.149,2.25875366799178,-0.151999499738128,2.41075316772991
1209.631,2.2411500971902,-0.156331600134059,2.39748169732426
1210.113,2.25474711283396,-0.160643399576399,2.41539051241036
1210.595,2.23747245452259,-0.164934235502618,2.40240669002521
1211.077,2.24655487196687,-0.169203448564883,2.41575832053176
1211.559,2.22297290498868,-0.173450382731179,2.39642328771986
1212.041,2.20604646352088,-0.177674385385924,2.3837208489068
1212.523,2.20383762760717,-0.181874807430018,2.38571243503718
1213.006,2.19923296137168,-0.186059642058554,2.38529260343024
1213.488,2.18495739506764,-0.190210917889615,2.37516831295726
1213.97,2.17215271496843,-0.19433668658479,2.36648940155322
1214.452,2.13496291156019,-0.198436314108937,2.33339922566913
1214.934,2.13459088543935,-0.202509170435616,2.33710005587497
1215.416,2.11486809731243,-0.206554629643685,2.32142272695612
1215.898,2.10043196799598,-0.210572070013288,2.31100403800927
1216.38,2.11108159841645,-0.214560874121205,2.32564247253765
1216.863,2.06475118311012,-0.21852861295204,2.28327979606216
1217.345,2.05309531300163,-0.22245824735099,2.27555356035262
1217.827,2.01972229592497,-0.226357418693534,2.2460797146185
1218.309,2.01978259324515,-0.230225527692744,2.25000812093789
1218.791,1.97566432643647,-0.234061979825027,2.2097263062615
1219.273,1.95798850708239,-0.2378661854213,2.19585469250369
1219.755,1.9308503868754,-0.241637559757426,2.17248794663283
1220.237,1.93471970761696,-0.245375523143851,2.18009523076081
1220.719,1.9027775912173,-0.249079501014529,2.15185709223183
1221.202,1.85663153923072,-0.252756500613918,2.10938803984464
1221.684,1.86542664021814,-0.256390731245227,2.12181737146337
1222.166,1.82898376030618,-0.25998928312728,2.08897304343346
1222.648,1.79803636183932,-0.263551603072474,2.06158796491179
1223.13,1.78757051727024,-0.267077143449294,2.05464766071953
1223.612,1.72570982915972,-0.270565362266286,1.99627519142601
1224.094,1.7258156601765,-0.274015723255179,1.99983138343168
1224.576,1.68693821309715,-0.277427695953114,1.96436590905026
1225.058,1.68260566080598,-0.280800755783993,1.96340641658997
1225.541,1.63605752046345,-0.284141259034812,1.92019877949826
1226.023,1.60727234107961,-0.287434859951598,1.8947072010312
1226.505,1.58918862564358,-0.290688009349157,1.87987663499274
1226.987,1.55137498746963,-0.293900207006582,1.84527519447621
1227.469,1.53035543997914,-0.297070958982834,1.82742639896197
1227.951,1.4956014267005,-0.300199777692486,1.79580120439298
1228.433,1.43794292126899,-0.303286181980472,1.74122910324946
1228.915,1.43989026742669,-0.306329697195887,1.74621996462257
1229.397,1.40915211902231,-0.309329855264776,1.71848197428708
1229.88,1.37959778757383,-0.312292282380471,1.6918900699543
1230.362,1.35520892502674,-0.315204256278832,1.67041318130557
1230.844,1.31855487996602,-0.318071508060944,1.63662638802696
1231.326,1.29268683666605,-0.320893596682455,1.6135804333485
1231.808,1.22755496950729,-0.323670088024679,1.55122505753197
1232.29,1.22571075297612,-0.326400554961184,1.55211130793731
1232.772,1.18858719166479,-0.329084577423268,1.51767176908806
1233.254,1.14195967027122,-0.331721742464389,1.47368141273561
1233.737,1.08456217155531,-0.334316968156231,1.41887913971154
1234.219,1.09495307643667,-0.336859109027574,1.43181218546424
1234.701,1.03243852582795,-0.339353196195012,1.37179172202297
1235.183,1.011321234849,-0.341798845838163,1.35312008068716
1235.665,0.967278718724748,-0.344195681564428,1.31147440028918
1236.147,0.959136552785136,-0.346543334466714,1.30567988725185
1236.629,0.921921742464994,-0.348841443180009,1.270763185645
1237.111,0.868390623303927,-0.351089653936794,1.21948027724072
1237.594,0.848552580655902,-0.353292128253497,1.2018447089094
1238.076,0.812541531701735,-0.355439407165413,1.16798093886715
1238.558,0.802748411019927,-0.357535772261911,1.16028418328184
1239.04,0.756766574568198,-0.35958090071241,1.11634747528061
1239.522,0.729398388408461,-0.36157447754335,1.09097286595181
1240.004,0.682717558706694,-0.363516195686499,1.04623375439319
1240.486,0.643811191732823,-0.365405756026039,1.00921694775886
1240.968,0.633516253860622,-0.367242867444438,1.00075912130506
1241.45,0.573846791567576,-0.369027246867088,0.942874038434663
1241.933,0.547829584162336,-0.370762156077603,0.918591740239939
1242.415,0.518672762536454,-0.372440143874053,0.891112906410507
1242.897,0.453361996412267,-0.37406459860819,0.827426595020457
1243.379,0.425779242681177,-0.375635269815834,0.801414512497011
1243.861,0.386269688337711,-0.377151915280399,0.76342160361811
1244.343,0.338804830479447,-0.37861430107002,0.717419131549466
1244.825,0.319710126306825,-0.380022201573433,0.699732327880259
1245.307,0.265631103123109,-0.381375399534578,0.647006502657687
1245.79,0.23126214482366,-0.382676322405731,0.613938467229391
1246.272,0.188175744557618,-0.383919382557774,0.572095127115392
1246.754,0.161158557676462,-0.385107138467739,0.5462656961442
1247.236,0.136708421893637,-0.386239406638251,0.522947828531888
1247.718,0.116042255024819,-0.387316012080852,0.503358267105671
1248.2,0.0631405649877639,-0.388336788342845,0.451477353330609
1248.682,0.0311821898022036,-0.389301577532812,0.420483767335015
1249.164,0.0259591175897373,-0.390210230344825,0.416169347934563
1249.646,-0.0446342034262859,-0.391062606081353,0.346428402655068
1250.129,-0.049422345374218,-0.391860165333573,0.342437819959355
1250.611,-0.0991427514579843,-0.392599481956885,0.293456730498901
1251.093,-0.128660881193353,-0.393282151042533,0.26462126984918
1251.575,-0.150558845950931,-0.393908066547089,0.243349220596158
1252.057,-0.170678487000158,-0.394477131130156,0.223798644129998
1252.539,-0.187007035509401,-0.394989256169303,0.207982220659902
1253.021,-0.248105172546078,-0.395444361773651,0.147339189227574
1253.503,-0.261918129076799,-0.395842376796125,0.133924247719326
1253.985,-0.295593795967436,-0.396183238844365,0.100589442876929
1254.468,-0.339347191723149,-0.396467423288366,0.0571202315652164
1254.95,-0.355487955205666,-0.396693708456912,0.0412057532512464
1255.432,-0.381962631168157,-0.396862706025669,0.0149000748575113
1255.914,-0.431091460074585,-0.396974388721595,-0.0341170713529904
1256.396,-0.445608332288767,-0.397028738060758,-0.0485795942280091
1256.878,-0.465918418074489,-0.39702574435117,-0.0688926737233188
1257.36,-0.50265354759563,-0.396965406694273,-0.105688140901357
1257.842,-0.527945900916265,-0.396847732985073,-0.131098167931192
1258.324,-0.570721468000764,-0.396672739910937,-0.174048728089827
1258.807,-0.582511513931431,-0.396439911491319,-0.186071602440112
1259.289,-0.615459012838027,-0.396150246150497,-0.219308766687531
1259.771,-0.63958836492835,-0.39580336432707,-0.243785000601281
1260.253,-0.685650079768951,-0.395399317856961,-0.290250761911991
1260.735,-0.721717286827278,-0.394938167342164,-0.326779119485114
1261.217,-0.729564815471768,-0.394419982141452,-0.335144833330316
1261.699,-0.748403934971959,-0.393844840359741,-0.354559094612218
1262.181,-0.769277334498618,-0.393212828836113,-0.376064505662505
1262.664,-0.804118460075498,-0.39252255516877,-0.411595904906729
1263.146,-0.831846522556194,-0.391776982089269,-0.440069540466926
1263.628,-0.839737722106143,-0.390974852293609,-0.448762869812534
1264.11,-0.871200887501901,-0.390116287428981,-0.48108460007292
1264.592,-0.894715147421834,-0.38920141779677,-0.505513729625065
1265.074,-0.930615650446173,-0.38823038233257,-0.542385268113603
1265.556,-0.922258485057181,-0.387203328584882,-0.535055156472299
1266.038,-0.952614849639241,-0.386120412692489,-0.566494436946752
1266.521,-0.980746628992907,-0.384979379313594,-0.595767249679313
1267.003,-0.996152845033542,-0.383785126778798,-0.612367718254744
1267.485,-1.01366712573264,-0.382535532197247,-0.631131593535397
1267.967,-1.030618019084,-0.381230785833865,-0.649387233250135
1268.449,-1.02339304298408,-0.379871086410983,-0.643521956573092
1268.931,-1.03540009523214,-0.37845664107786,-0.656943454154278
1269.413,-1.04669121353036,-0.37698766537892,-0.669703548151439
1269.895,-1.08801889548393,-0.375464383220694,-0.71255451226324
1270.377,-1.09323977860118,-0.373887026837495,-0.719352751763683
1270.86,-1.10018978180608,-0.37225239675522,-0.727937385050858
1271.342,-1.10787442721981,-0.370567510849053,-0.737306916370752
1271.824,-1.12146514586068,-0.368829297566725,-0.752635848293959
1272.306,-1.15053595485049,-0.367038022101751,-0.783497932748736
1272.788,-1.15537465121465,-0.365193957784623,-0.790180693430028
1273.27,-1.18442408188244,-0.363297386040885,-0.821126695841556
1273.752,-1.17365770368701,-0.361348596347979,-0.812309107339036
1274.234,-1.21917972336555,-0.359347886190852,-0.859831837174701
1274.717,-1.22696945492383,-0.357291249642679,-0.869678205281153
1275.199,-1.2369743989531,-0.355187516708903,-0.881786882244198
1275.681,-1.25406512061016,-0.353032804023099,-0.901032316587056
1276.163,-1.24162476624917,-0.350827440648056,-0.890797325601111
1276.645,-1.2540867921289,-0.348571763413724,-0.905515028715178
1277.127,-1.26307133441281,-0.346266116865577,-0.916805217547233
1277.609,-1.28152380916913,-0.343910853211773,-0.937612955957361
1278.091,-1.26831432237103,-0.341506332269142,-0.92680799010189
1278.573,-1.28079176989668,-0.339052921408008,-0.941738848488671
1279.056,-1.27657703795705,-0.336545754610907,-0.940031283346144
1279.538,-1.28103880120622,-0.333995596496983,-0.947043204709237
1280.02,-1.29565578596012,-0.331397696143536,-0.964258089816584
1280.502,-1.3002861477179,-0.328752450575193,-0.971533697142703
1280.984,-1.30996139188429,-0.326060264076874,-0.983901127807414
1281.466,-1.31618448376969,-0.323321548131777,-0.992862935637915
1281.948,-1.31771327859032,-0.320536721358295,-0.997176557232022
1282.43,-1.33226196146824,-0.317706209445811,-1.01455575202243
1282.912,-1.33286149743158,-0.314830445089423,-1.01803105234215
1283.395,-1.36687669426035,-0.311903762360677,-1.05497293189968
1283.877,-1.35776230195467,-0.308938727314414,-1.04882357464026
1284.359,-1.36399385736935,-0.305929780222498,-1.05806407714686
1284.841,-1.39850791515744,-0.302877381142664,-1.09563053401478
1285.323,-1.38509343987854,-0.299781996795917,-1.08531144308263
1285.805,-1.39608416599891,-0.296644100494962,-1.09944006550395
1286.287,-1.3863994078916,-0.293464172071612,-1.09293523581999
1286.769,-1.37859294983653,-0.290242697803212,-1.08835025203332
1287.251,-1.38333709602062,-0.286980170338073,-1.09635692568255
1287.734,-1.39567059501423,-0.283670193946654,-1.11200040106758
1288.216,-1.40498867373182,-0.280326980578117,-1.1246616931537
1288.698,-1.40265418880412,-0.276944230490396,-1.12570995831373
1289.18,-1.38776085404692,-0.273522461063099,-1.11423839298382
1289.662,-1.38849575318356,-0.270062195659353,-1.1184335575242
1290.144,-1.37480322984499,-0.266563963545559,-1.10823926629944
1290.626,-1.39069410756996,-0.263028299810232,-1.12766580775973
1291.108,-1.40197130980504,-0.259455745281943,-1.1425155645231
1291.591,-1.40214794232834,-0.255839321706635,-1.1463086206217
1292.073,-1.38505895631016,-0.252194556942722,-1.13286439936744
1292.555,-1.39148651470034,-0.248514558640604,-1.14297195605973
1293.037,-1.39725384057781,-0.244799889762238,-1.15245395081557
1293.519,-1.39562291692991,-0.241051118586239,-1.15457179834367
1294.001,-1.40680898665248,-0.237268818620729,-1.16954016803175
1294.483,-1.37438460255,-0.233453568515396,-1.1409310340346
1294.965,-1.39236773733565,-0.229605951972762,-1.16276178536289
1295.448,-1.38679650107204,-0.225718476500779,-1.16107802457126
1295.93,-1.39003798504038,-0.221807833876861,-1.16823015116352
1296.412,-1.36913734559856,-0.217866606587546,-1.15127073901102
1296.894,-1.36803707509559,-0.213895397653669,-1.15414167744192
1297.376,-1.37013141578971,-0.209894814693697,-1.16023660109602
1297.858,-1.34878981984856,-0.205865469830534,-1.14292435001802
1298.34,-1.36086038934923,-0.20180797959766,-1.15905240975157
1298.822,-1.3494952862784,-0.197722964844581,-1.15177232143382
1299.304,-1.33823631253249,-0.193611050641625,-1.14462526189086
1299.787,-1.33000203384393,-0.189464253869924,-1.14053777997401
1300.269,-1.33175523867945,-0.185300379853741,-1.1464548588257
1300.751,-1.33658232809525,-0.181111507287871,-1.15547082080738
1301.233,-1.30374719362738,-0.176898277169004,-1.12684891645838
1301.715,-1.31373292672212,-0.17266133422902,-1.1410715924931
1302.197,-1.31903471873607,-0.168401326836103,-1.15063339189996
1302.679,-1.30977837093626,-0.164118906895318,-1.14565946404094
1303.161,-1.31658877450029,-0.159814729748648,-1.15677404475164
1303.644,-1.30027643416152,-0.155480459000298,-1.14479597516122
1304.126,-1.31502984908301,-0.151134705003106,-1.16389514407991
1304.608,-1.28352456847099,-0.146769180822918,-1.13675538764807
1305.09,-1.28631113314611,-0.142384554545569,-1.14392657860054
1305.572,-1.25846017384009,-0.137981497186154,-1.12047867665394
1306.054,-1.25678400119588,-0.13356068258613,-1.12322331860975
1306.536,-1.26336770576765,-0.129122787310002,-1.13424491845765
1307.018,-1.25741786802103,-0.124668490541542,-1.13274937747949
1307.5,-1.24129729833313,-0.120198473979667,-1.12109882435347
1307.983,-1.24062668341951,-0.115704101492486,-1.12492258192703
1308.465,-1.22529000702454,-0.111204670922796,-1.11408533610175
1308.947,-1.23123713939354,-0.106691581130893,-1.12454555826265
1309.429,-1.21670048055051,-0.102165522831474,-1.11453495771904
1309.911,-1.19967126043144,-0.0976271887279234,-1.10204407170352
1310.393,-1.2039612288845,-0.0930772734060864,-1.11088395547842
1310.875,-1.18046387567008,-0.0885164732277788,-1.0919474024423
1311.357,-1.1591402604609,-0.0839454862239698,-1.07519477423693
1311.839,-1.14779605284215,-0.0793650119877583,-1.0684310408544
1312.322,-1.13421706995293,-0.074766221633753,-1.05945084831917
1312.804,-1.12418349324712,-0.0701688613835934,-1.05401463186353
1313.286,-1.12528518246529,-0.0655641224402344,-1.05972106002506
1313.768,-1.09717482684328,-0.0609527095725549,-1.03622211727073
1314.25,-1.09438271552993,-0.0563353285728759,-1.03804738695705
1314.732,-1.07793238758713,-0.0517126861487182,-1.02621970143841
1315.214,-1.06223052198997,-0.0470854898144223,-1.01514503217555
1315.696,-1.06140250762684,-0.0424544477826716,-1.01894805984416
1316.178,-1.04330388329949,-0.0378202688558653,-1.00548361444363
1316.661,-1.00314861487903,-0.0331740407705701,-0.969974574108455
1317.143,-1.00388731492271,-0.0285357134499289,-0.975351601472784
1317.625,-0.987654060989504,-0.023896379565606,-0.963757681423898
