sigma10,R10,bg10,sigma15,R15,bg15
1162.383,9.362974995,9.58134147167489,1162.383,9.064690807,10.2513440675513
1162.865,9.436503547,9.59857220252601,1162.865,9.105453491,10.2682550740269
1163.348,9.48946433,9.61579790989165,1163.348,9.15486484,10.2851633760477
1163.83,9.544158216,9.63294734771556,1163.83,9.206016211,10.3019990316356
1164.312,9.61827268,9.65005630378255,1164.312,9.293207658,10.318797158149
1164.794,9.679969992,9.66712485962891,1164.794,9.327749097,10.3355578269527
1165.276,9.72902467,9.68415309666776,1165.276,9.399148698,10.3522811093083
1165.758,9.816512152,9.7011410961892,1165.758,9.451090409,10.3689670763747
1166.24,9.872629866,9.71808893936043,1166.24,9.512619314,10.3856157992078
1166.722,9.921649218,9.73499670722584,1166.722,9.57133539,10.4022273487608
1167.204,10.00688983,9.75186448070724,1167.204,9.638073273,10.4188017958846
1167.687,10.04934773,9.76872721174222,1167.687,9.717286735,10.4353734828725
1168.169,10.13516332,9.78551515617387,1168.169,9.770439217,10.4518738606706
1168.651,10.18806911,9.80226334841925,1168.651,9.833345544,10.4683373481234
1169.133,10.24195895,9.81897186891062,1169.133,9.896323116,10.4847640156718
1169.615,10.31267544,9.83564079795822,1169.615,9.94505293,10.5011539336552
1170.097,10.37053635,9.85227021575042,1170.097,10.00442783,10.5175071723107
1170.579,10.42652151,9.86886020235388,1170.579,10.07314891,10.5338238017735
1171.061,10.48112251,9.88541083771361,1171.061,10.13512275,10.5501038920772
1171.543,10.55695455,9.90192220165316,1171.543,10.20499545,10.5663475131538
1172.026,10.57990582,9.91842850782147,1172.026,10.26425836,10.5825883219862
1172.508,10.66830045,9.93486148684314,1172.508,10.30012184,10.5987591386978
1172.99,10.73802724,9.95125543335239,1172.99,10.39263572,10.6148936955135
1173.472,10.77759668,9.96761042668787,1173.472,10.47487273,10.6309920619594
1173.954,10.83729695,9.98392654606738,1173.954,10.5164571,10.6470543074606
1174.436,10.90575053,10.000203870588,1174.436,10.58542941,10.663080501341
1174.918,10.95209056,10.0164424792263,1174.918,10.63372797,10.6790707128237
1175.4,11.03018197,10.0326424508383,1175.4,10.70431109,10.695025011031
1175.883,11.06679249,10.0488373540363,1175.883,10.77805863,10.7109764536104
1176.365,11.12096326,10.0649602079309,1176.365,10.83014989,10.7268590580798
1176.847,11.1718572,10.0810446608087,1176.847,10.92308329,10.7427059561794
1177.329,11.23455833,10.0970907910449,1177.329,10.97725833,10.7585172166289
1177.811,11.31302348,10.113098676895,1177.811,11.03021149,10.774292908048
1178.293,11.34634993,10.1290683964946,1178.293,11.09648054,10.7900330989558
1178.775,11.38997273,10.14500002786,1178.775,11.15022607,10.8057378577717
1179.257,11.43269221,10.1608936488879,1179.257,11.2090472,10.8214072528148
1179.74,11.49382054,10.1767821935982,1179.74,11.27863795,10.8370737515532
1180.222,11.54366316,10.1925999487078,1180.222,11.34984621,10.8526725505939
1180.704,11.62385157,10.2083799266156,1180.704,11.40218704,10.8682361903615
1181.186,11.65345559,10.2241222047417,1181.186,11.47625693,10.8837647387763
1181.668,11.70109422,10.2398268603871,1181.668,11.50617864,10.8992582636588
1182.15,11.75886619,10.2554939707346,1182.15,11.58181859,10.9147168327302
1182.632,11.79921958,10.2711236128481,1182.632,11.64411338,10.9301405136125
1183.114,11.86588068,10.2867158636731,1183.114,11.69934823,10.9455293738285
1183.596,11.91119176,10.3022708000371,1183.596,11.76026485,10.9608834808019
1184.079,11.96524715,10.3178206543891,1184.079,11.81089385,10.9762346488794
1184.561,11.99292794,10.3333011148219,1184.561,11.88437007,10.9915193794898
1185.043,12.04312822,10.3487444907254,1185.043,11.96147376,11.0067695586745
1185.525,12.09484683,10.3641508584549,1185.525,11.97881082,11.0219852534618
1186.007,12.11218308,10.3795202942478,1186.007,12.07815557,11.0371665307814
1186.489,12.18138483,10.394852874224,1186.489,12.12738191,11.0523134574645
1186.971,12.23847452,10.4101486743861,1186.971,12.15310757,11.0674261002441
1187.453,12.26009029,10.4254077706192,1187.453,12.21979208,11.0825045257548
1187.936,12.30334204,10.4406617825532,1187.936,12.27965215,11.0975799772679
1188.418,12.36232099,10.4558476223592,1188.418,12.33231386,11.1125900971068
1188.9,12.38177402,10.4709969853462,1188.9,12.39297915,11.1275661991298
1189.382,12.42751786,10.4861099469312,1189.382,12.44118468,11.1425083495793
1189.864,12.47186746,10.5011865824147,1189.864,12.4929578,11.1574166146001
1190.346,12.51302569,10.5162269669807,1190.346,12.54937985,11.1722910602391
1190.828,12.53836394,10.5312311756966,1190.828,12.6013387,11.1871317524459
1191.31,12.6019507,10.5461992835136,1191.31,12.64281786,11.2019387570726
1191.792,12.62239921,10.5611313652668,1191.792,12.6820255,11.216712139874
1192.275,12.66748812,10.5760583631907,1192.275,12.72438723,11.2314825122248
1192.757,12.71071991,10.5909185425021,1192.757,12.77379613,11.2461887788363
1193.239,12.72599917,10.6057429197136,1193.239,12.82302529,11.2608616204395
1193.721,12.75755406,10.6205315691967,1193.721,12.87721572,11.2755011024005
1194.203,12.80455933,10.6352845652075,1194.203,12.90353427,11.2901072899887
1194.685,12.82701109,10.6500019818862,1194.685,12.96808353,11.3046802483768
1195.167,12.84587785,10.6646838932583,1195.167,13.01213149,11.3192200426406
1195.649,12.8781555,10.6793303732338,1195.649,13.06428481,11.3337267377598
1196.131,12.89600554,10.6939414956077,1196.131,13.09961237,11.3482003986174
1196.614,12.92431334,10.7085475377624,1196.614,13.14872907,11.362671015714
1197.096,12.950768,10.7230880928845,1197.096,13.18948296,11.3770787341123
1197.578,12.96279459,10.7375935112535,1197.578,13.23785989,11.3914536124544
1198.06,12.98297747,10.7520638662052,1198.06,13.29020347,11.4057957152386
1198.542,13.00955693,10.7664992309611,1198.542,13.32163541,11.4201051068671
1199.024,13.03328441,10.7808996786284,1199.024,13.37861306,11.4343818516461
1199.506,13.0733705,10.7952652822002,1199.506,13.4133859,11.4486260137865
1199.988,13.08885867,10.8095961145554,1199.988,13.45820193,11.4628376574032
1200.47,13.11316285,10.823892248459,1200.47,13.49108216,11.4770168465157
1200.953,13.12666374,10.8381833088104,1200.953,13.50627755,11.4911929616269
1201.435,13.14600031,10.8524101920392,1201.435,13.5697679,11.5053073664063
1201.917,13.18560855,10.8666025945796,1201.917,13.59040595,11.5193895083001
1202.399,13.1759251,10.8807605887419,1202.399,13.62843966,11.5334394509463
1202.881,13.20586587,10.8948842467231,1202.881,13.64012374,11.5474572578883
1203.363,13.22540031,10.9089736406073,1203.363,13.68704705,11.5614429925742
1203.845,13.24277555,10.9230288423652,1203.845,13.70736745,11.5753967183574
1204.327,13.24789277,10.9370499238548,1204.327,13.72788854,11.5893184984967
1204.81,13.26550699,10.9510659402181,1204.81,13.77493461,11.6032371802733
1205.292,13.25869681,10.9650189258765,1205.292,13.78912811,11.6170951925725
1205.774,13.27493794,10.9789380063121,1205.774,13.81968888,11.630921448567
1206.256,13.29504936,10.9928232529323,1206.256,13.84869307,11.6447160111374
1206.738,13.2943079,11.0066747370317,1206.738,13.88118829,11.65847894307
1207.22,13.29550188,11.020492529793,1207.22,13.89781647,11.672210307057
1207.702,13.3039397,11.0342767022869,1207.702,13.92480464,11.6859101656967
1208.184,13.31056015,11.0480273254718,1208.184,13.9539934,11.6995785814932
1208.667,13.32581644,11.0617728942495,1208.667,14.00372863,11.7132438768849
1209.149,13.33421023,11.0754565620082,1209.149,14.00663189,11.726849529222
1209.631,13.33025699,11.0891068928098,1209.631,14.04526428,11.7404239257951
1210.113,13.35747107,11.102723957166,1210.113,14.06538891,11.7539671287335
1210.595,13.35378028,11.1163078254774,1210.595,14.08665857,11.767479200073
1211.077,13.37641344,11.1298585680331,1211.077,14.11183043,11.7809602017561
1211.559,13.36634916,11.1433762550113,1211.559,14.12930647,11.7944101956321
1212.041,13.36290742,11.1568609564791,1212.041,14.15718143,11.8078292434572
1212.523,13.37415037,11.1703127423928,1212.523,14.16881944,11.8212174068945
1213.006,13.38299245,11.1837594886283,1213.006,14.19724214,11.8346024278414
1213.488,13.38210298,11.1971455849324,1213.488,14.20357147,11.8479289433641
1213.97,13.38265169,11.2104989750316,1213.97,14.21387593,11.8612247590582
1214.452,13.35878264,11.2238197284398,1214.452,14.22594118,11.8744899362153
1214.934,13.3716988,11.2371079145607,1214.934,14.25207042,11.8877245360346
1215.416,13.3652317,11.2503636026876,1215.416,14.26861555,11.9009286196227
1215.898,13.36401883,11.263586862004,1215.898,14.27283358,11.914102247994
1216.38,13.38785936,11.2767777615836,1216.38,14.26985277,11.9272454820706
1216.863,13.35471482,11.2899636368899,1216.863,14.27830482,11.9403855563809
1217.345,13.35618527,11.3030899569984,1217.345,14.29876293,11.9534681215221
1217.827,13.33590642,11.316184124075,1217.827,14.29981504,11.9665204747079
1218.309,13.3490288,11.3292462067549,1218.309,14.29561203,11.979542676492
1218.791,13.3179406,11.3422762735635,1218.791,14.29190262,11.9925347873365
1219.273,13.3132629,11.3552743929176,1219.273,14.28938141,12.0054968676117
1219.755,13.29909102,11.3682406331246,1219.755,14.31706823,12.0184289775964
1220.237,13.31589477,11.381175062383,1220.237,14.30061721,12.0313311774779
1220.719,13.29685534,11.3940777487827,1220.719,14.30178304,12.0442035273521
1221.202,13.26360697,11.4069754307693,1221.202,14.27588148,12.0570727006137
1221.684,13.28524141,11.4198147697819,1221.684,14.32032457,12.0698854687775
1222.166,13.26160633,11.4326225696938,1222.166,14.31932463,12.0826685667985
1222.648,13.24343526,11.4453988981607,1222.648,14.29351055,12.0954220544078
1223.13,13.24571434,11.4581438227298,1223.13,14.30436716,12.1081459912456
1223.612,13.19656724,11.4708574108403,1223.612,14.30202015,12.1208404368615
1224.094,13.20935539,11.4835397298235,1224.094,14.28645019,12.1335054507141
1224.576,13.18312906,11.4961908469029,1224.576,14.29545114,12.1461410921717
1225.058,13.19141649,11.508810829194,1225.058,14.31114052,12.1587474205119
1225.541,13.15748335,11.5214258295366,1225.541,14.30402615,12.1713505580689
1226.023,13.14125602,11.5339836789204,1226.023,14.30106347,12.1838983771369
1226.505,13.13569922,11.5465105943564,1226.505,14.29434125,12.1964170605006
1226.987,13.11038163,11.5590066425304,1226.987,14.28211178,12.2089066670764
1227.469,13.10182733,11.5714718900209,1227.469,14.26751445,12.2213672556908
1227.951,13.07950783,11.5839064032995,1227.951,14.26974171,12.23379888508
1228.433,13.03425317,11.596310248731,1228.433,14.24594911,12.2462016138908
1228.915,13.04857376,11.6086834925733,1228.915,14.24351509,12.25857550068
1229.397,13.03017832,11.6210262009777,1229.397,14.23946339,12.2709206039148
1229.88,13.01296174,11.6333639524262,1229.88,14.22295561,12.2832625048052
1230.362,13.00085465,11.6456457249733,1230.362,14.1998749,12.2955501565603
1230.844,12.97645204,11.657897160034,1230.844,14.18942759,12.3078091997465
1231.326,12.96280516,11.670118323334,1231.326,14.17881745,12.3200396924731
1231.808,12.90986425,11.6823092804927,1231.808,14.18126336,12.3322416927603
1232.29,12.92018085,11.6944700970239,1232.29,14.15315596,12.3444152585394
1232.772,12.89518803,11.7066008383352,1232.772,14.14462678,12.3565604476526
1233.254,12.86066124,11.7187015697288,1233.254,14.11595524,12.3686773178532
1233.737,12.81535954,11.7307973684447,1233.737,14.10539845,12.3807909775698
1234.219,12.83779129,11.7428382135633,1234.219,14.10267861,12.3928513243962
1234.701,12.78728777,11.754849244172,1234.701,14.08497381,12.4048835251569
1235.183,12.77815176,11.766830525151,1235.183,14.06780588,12.4168876372506
1235.665,12.74606084,11.7787821212753,1235.665,14.05443413,12.4288637179874
1236.147,12.74984065,11.7907040972149,1236.147,14.04448582,12.4408118245893
1236.629,12.72451826,11.802596517535,1236.629,14.03034144,12.45273201419
1237.111,12.68285007,11.8144594466961,1237.111,14.00914745,12.464624343835
1237.594,12.67487005,11.8263174693441,1237.594,14.00525329,12.4765134568209
1238.076,12.65066308,11.8381215482983,1238.076,13.96935371,12.488350179834
1238.558,12.65264474,11.8498963289801,1238.558,13.95574861,12.5001592136183
1239.04,12.61840845,11.8616418754318,1239.04,13.94989246,12.5119406148676
1239.522,12.60275664,11.8733582515915,1239.522,13.94582314,12.5236944401883
1240.004,12.56776308,11.8850455212933,1240.004,13.91440412,12.535420746099
1240.486,12.54051494,11.8967037482672,1240.486,13.88308381,12.5471195890311
1240.968,12.54184925,11.9083329961394,1240.968,13.85312941,12.5587910253285
1241.45,12.49378012,11.9199333284324,1241.45,13.85940051,12.5704351112478
1241.933,12.47935837,11.9315287858377,1241.933,13.83411255,12.5820759758529
1242.415,12.46174418,11.9430714174635,1242.415,13.80047976,12.5936654729853
1242.897,12.40794732,11.9545853235877,1242.897,13.76121989,12.605227788103
1243.379,12.39184981,11.9660705673188,1243.379,13.73676833,12.6167629771147
1243.861,12.3637969,11.9775272116623,1243.861,13.69654855,12.6282710958418
1244.343,12.32776015,11.9889553195206,1244.343,13.69349477,12.6397522000192
1244.825,12.32006508,12.0003549536932,1244.825,13.66811279,12.6512063452954
1245.307,12.27735728,12.0117261768769,1245.307,13.64642493,12.6626335872321
1245.79,12.2543547,12.0230925551763,1245.79,13.60743259,12.6740576057048
1246.272,12.22258283,12.0344070854424,1246.272,13.59215597,12.6854311517739
1246.754,12.20685195,12.0456933923235,1246.754,13.57206389,12.6967779607856
1247.236,12.19365996,12.0569515381064,1247.236,13.54845866,12.7080980879563
1247.718,12.18422384,12.0681815849752,1247.718,13.52829818,12.7193915884166
1248.2,12.14252416,12.0793835950122,1248.2,13.52001774,12.7306585172111
1248.682,12.12173982,12.0905576301978,1248.682,13.46442559,12.7418989292986
1249.164,12.12766287,12.1017037524103,1249.164,13.45536187,12.7531128795519
1249.646,12.06818782,12.1128220234263,1249.646,13.43904812,12.7643004227584
1250.129,12.07451314,12.1239354853742,1250.129,13.41167147,12.7754847422623
1250.611,12.03585543,12.134998181458,1250.611,13.37580911,12.7866195808921
1251.093,12.01737233,12.1460332111934,1251.093,13.37002559,12.7977281764371
1251.575,12.00648179,12.1570406359509,1251.575,13.33543777,12.8088105833427
1252.057,11.99734203,12.1680205170002,1252.057,13.31469028,12.8198668559691
1252.539,11.99196588,12.1789729155094,1252.539,13.28682682,12.8308970485915
1253.021,11.94179272,12.1898978925461,1253.021,13.26879357,12.8419012153999
1253.503,11.93887738,12.2007955090768,1253.503,13.24320259,12.8528794104996
1253.985,11.91607203,12.2116658259674,1253.985,13.22885736,12.863831687911
1254.468,11.88318418,12.2225313717232,1254.468,13.20318337,12.8747807436297
1254.95,11.87785926,12.2333472152057,1254.95,13.18318005,12.8856812938951
1255.432,11.86217331,12.2441359411682,1255.432,13.15678484,12.8965560881368
1255.914,11.82380615,12.2548976100746,1255.914,13.13810315,12.9074051800366
1256.396,11.82002395,12.2656322822888,1256.396,13.094682,12.9182286231919
1256.878,11.8104216,12.2763400180745,1256.878,13.06696254,12.929026471116
1257.36,11.78436733,12.2870208775956,1257.36,13.06021011,12.939798777238
1257.842,11.76972902,12.2976749209163,1257.842,13.02949787,12.9505455949028
1258.324,11.73758074,12.3083022080008,1258.324,13.03196748,12.9612669773713
1258.807,11.73641325,12.3189247639314,1258.807,13.01192532,12.9719851423454
1259.289,11.71403965,12.329498662838,1259.289,12.98420185,12.9826557613743
1259.771,11.70045762,12.3400459849284,1259.771,12.96877347,12.9933011045969
1260.253,11.66491671,12.350566789769,1260.253,12.94655793,13.0039212249387
1260.735,11.63934385,12.3610611368273,1260.735,12.91475264,13.0145161752421
1261.217,11.64196427,12.3715290854718,1261.217,12.88798861,13.0250860082658
1261.699,11.63356676,12.381970694972,1261.699,12.88145093,13.0356307766854
1262.181,11.62310869,12.3923860244986,1262.181,12.84760103,13.0461505330929
1262.664,11.5986782,12.4027966600755,1262.664,12.852241,13.056667077526
1263.146,11.58131303,12.4131595525562,1263.146,12.83131189,13.0671369157335
1263.628,11.58375862,12.4234963421061,1263.628,12.80885664,13.0775818993154
1264.11,11.5626062,12.4338070875019,1264.11,12.77780137,13.0880020805318
1264.592,11.5493767,12.4440918474218,1264.592,12.7734391,13.0983975115596
1265.074,11.52373503,12.4543506804462,1265.074,12.73368859,13.1087682444935
1265.556,11.54232516,12.4645836450572,1265.556,12.73113661,13.1191143313451
1266.038,11.52217595,12.4747907996392,1266.038,12.70146759,13.1294358240437
1266.521,11.50424667,12.4849932989929,1266.521,12.69577437,13.1397541119282
1267.003,11.49899611,12.4951489550335,1267.003,12.68017746,13.1500265210228
1267.485,11.49161185,12.5052789757326,1267.485,12.65365504,13.1602744913652
1267.967,11.4847654,12.515383419084,1267.967,12.62697196,13.1704980745554
1268.449,11.5020693,12.5254623429841,1268.449,12.63379521,13.1806973221113
1268.931,11.50011571,12.5355158052321,1268.931,12.6095634,13.1908722854689
1269.413,11.49885265,12.5455438635304,1269.413,12.60906558,13.2010230159821
1269.895,11.46752768,12.5555465754839,1269.895,12.60482917,13.2111495649232
1270.377,11.47228422,12.5655239986012,1270.377,12.58052796,13.2212519834827
1270.86,11.47530703,12.5754968118061,1270.86,12.56044775,13.2313512071922
1271.342,11.47754935,12.5854237772198,1271.342,12.56468442,13.2414054684356
1271.824,11.47386048,12.5953256258607,1271.824,12.54064871,13.2514357524854
1272.306,11.45466646,12.6052024148505,1272.306,12.52570401,13.2614421102059
1272.788,11.45967955,12.6150542012147,1272.788,12.51495046,13.2714245923805
1273.27,11.44045696,12.6248810418824,1273.27,12.51209935,13.281383249711
1273.752,11.46102529,12.634682993687,1273.752,12.50336828,13.2913181328187
1274.234,11.42528039,12.6444601133656,1274.234,12.47167199,13.3012292922433
1274.717,11.42726321,12.6542326649238,1274.717,12.45730046,13.3111372673277
1275.199,11.42698584,12.6639602389531,1275.199,12.45961477,13.3210010817253
1275.681,11.41959803,12.6736631506102,1275.681,12.42434477,13.3308413236793
1276.163,11.44171669,12.6833414562492,1276.163,12.42697827,13.3406580434064
1276.645,11.43890842,12.6929952121289,1276.645,12.42714583,13.3504512910431
1277.127,11.43955314,12.7026244744128,1277.127,12.41351956,13.3602211166451
