group,kind,keep,path,dup_with
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI全流程解题与论文写作提示词！\数学建模国赛AI一键式全流程超级提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\数学建模国赛AI一键式全流程超级提示词.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI论文检测与获奖预测万能提示词！\AI模型检测！数学建模论文AI模型适配性检查提示词！.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI论文检测与获奖预测万能提示词！\AI痕迹检测！数学建模论文AI痕迹自动检测与诊断提示词.docx,AI论文痕迹自动检测与诊断提示词（V5.0版本）.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI论文检测与获奖预测万能提示词！\AI红线检测！2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,2026国赛AI助攻资料合集\数学建模国赛AI论文检测与获奖预测万能提示词！\AI论文检查与获奖预测！数学建模论文全维度自查与获奖预测提示词！（标准版）.docx,数学建模论文全维度自查与获奖预测提示词！（标准版）.docx
CROSS,CROSS,b1,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
CROSS,CROSS,b1,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
CROSS,CROSS,b1,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
CROSS,CROSS,b1,2026国赛各类AI实用工具和提示词汇总！\数学建模论文全维度自查与获奖预测提示词！（标准版）.docx,数学建模论文全维度自查与获奖预测提示词！（标准版）.docx
CROSS,CROSS,b1,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
CROSS,CROSS,b1,2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
CROSS,CROSS,b1,2026国赛论文写作模版\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,2026国赛论文写作模版\最新版！2026数学建模国赛标准论文Word模板.doc,最新版！2026数学建模国赛标准论文Word模板(1).doc
CROSS,CROSS,b1,2026老哥！2026国赛最强备战资料！3天速成国奖配套资料！\最新版！2026数学建模国赛标准论文Word模板.doc,最新版！2026数学建模国赛标准论文Word模板(1).doc
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模论文AI模型适配性检查提示词！（已修改）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模论文全维度自查与获奖预测提示词！（标准版）.docx,数学建模论文全维度自查与获奖预测提示词！（标准版）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\最新版！2026数学建模国赛标准论文Word模板.doc,最新版！2026数学建模国赛标准论文Word模板(1).doc
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\数学建模论文全维度自查与获奖预测提示词！（标准版）.docx,数学建模论文全维度自查与获奖预测提示词！（标准版）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛论文写作模版\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛论文写作模版\最新版！2026数学建模国赛标准论文Word模板.doc,最新版！2026数学建模国赛标准论文Word模板(1).doc
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛：AI工具使用详情说明写作模板！\AI 工具使用详情.docx,AI 工具使用详情.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\2026老哥！2026国赛最强备战资料！3天速成国奖配套资料！\最新版！2026数学建模国赛标准论文Word模板.doc,最新版！2026数学建模国赛标准论文Word模板(1).doc
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\AI+数学建模提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI全流程解题与论文写作提示词！\01_数学建模国赛【赛题分析】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\01_数学建模国赛【赛题分析】万能提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI全流程解题与论文写作提示词！\02_数学建模国赛【数据预处理】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\02_数学建模国赛【数据预处理】万能提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI全流程解题与论文写作提示词！\03_数学建模国赛【问题求解】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\03_数学建模国赛【问题求解】万能提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI全流程解题与论文写作提示词！\04_数学建模国赛【模型检验】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\04_数学建模国赛【模型检验】万能提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI全流程解题与论文写作提示词！\05_数学建模国赛【论文写作】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\05_数学建模国赛【论文写作】万能提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI全流程解题与论文写作提示词！\06_数学建模国赛【图表美化】万能提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\06_数学建模国赛【图表美化】万能提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI全流程解题与论文写作提示词！\AI图表美化！数学建模论文图表AI国奖级美化提示词.docx,数学建模论文图表AI国奖级美化提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI全流程解题与论文写作提示词！\AI论文优化！数学建模国赛论文国奖级AI优化升级提示词.docx,数学建模国赛论文国奖级AI优化升级提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI全流程解题与论文写作提示词！\数学建模国赛AI一键式全流程超级提示词.docx,数学建模国赛AI全流程解题与论文写作提示词！\数学建模国赛AI一键式全流程超级提示词.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI论文检测与获奖预测万能提示词！\AI模型检测！数学建模论文AI模型适配性检查提示词！.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI论文检测与获奖预测万能提示词！\AI痕迹检测！数学建模论文AI痕迹自动检测与诊断提示词.docx,AI论文痕迹自动检测与诊断提示词（V5.0版本）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI论文检测与获奖预测万能提示词！\AI红线检测！2026数学建模国赛AI全自动自查表（标准版）.docx,2026数学建模国赛AI全自动自查表（标准版）.docx
CROSS,CROSS,b1,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI论文检测与获奖预测万能提示词！\AI论文检查与获奖预测！数学建模论文全维度自查与获奖预测提示词！（标准版）.docx,数学建模论文全维度自查与获奖预测提示词！（标准版）.docx
1,INNER,dup,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
1,INNER,dup,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
1,INNER,dup,2026国赛AI助攻资料合集\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
1,INNER,keep,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
1,INNER,dup,2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
1,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
1,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
1,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
1,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\国奖级AI升级+精美图表AI升级提示词！\2026国赛国奖级论文AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛国奖级论文AI自动优化升级提示词.docx
2,INNER,dup,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
2,INNER,dup,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
2,INNER,dup,2026国赛AI助攻资料合集\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
2,INNER,keep,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
2,INNER,dup,2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
2,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
2,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
2,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
2,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\国奖级AI升级+精美图表AI升级提示词！\2026国赛超精美图表AI自动优化升级提示词.docx,2026国赛各类AI实用工具和提示词汇总！\2026国赛超精美图表AI自动优化升级提示词.docx
3,INNER,dup,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,2026国赛AI助攻资料合集\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,2026国赛AI助攻资料合集\AI+数学建模提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,2026国赛AI助攻资料合集\数学建模国赛AI论文检测与获奖预测万能提示词！\AI红线检测！2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,keep,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,2026国赛论文写作模版\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛论文写作模版\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026数学建模国赛AI全自动自查表（标准版）\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\AI+数学建模提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
3,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI论文检测与获奖预测万能提示词！\AI红线检测！2026数学建模国赛AI全自动自查表（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\2026数学建模国赛AI全自动自查表（标准版）.docx
4,INNER,dup,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
4,INNER,dup,2026国赛AI助攻资料合集\数学建模国赛AI论文检测与获奖预测万能提示词！\AI模型检测！数学建模论文AI模型适配性检查提示词！.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
4,INNER,keep,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
4,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\数学建模论文AI模型适配性检查提示词！（已修改）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
4,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
4,INNER,dup,A157 2026数学建模国赛备战冲刺资料合集！\数学建模国赛AI专属助攻资料合集！\数学建模国赛AI论文检测与获奖预测万能提示词！\AI模型检测！数学建模论文AI模型适配性检查提示词！.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文AI模型适配性检查提示词！（已修改）.docx
5,INNER,dup,2026国赛AI助攻资料合集\2026国赛各类AI实用工具和提示词汇总！\数学建模论文全维度自查与获奖预测提示词！（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文全维度自查与获奖预测提示词！（标准版）.docx
5,INNER,dup,2026国赛AI助攻资料合集\数学建模国赛AI论文检测与获奖预测万能提示词！\AI论文检查与获奖预测！数学建模论文全维度自查与获奖预测提示词！（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文全维度自查与获奖预测提示词！（标准版）.docx
5,INNER,keep,2026国赛各类AI实用工具和提示词汇总！\数学建模论文全维度自查与获奖预测提示词！（标准版）.docx,2026国赛各类AI实用工具和提示词汇总！\数学建模论文全维度自查与获奖预测提示词！（标准版）.docx
