category,relpath,detail
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V100\XXX_GraphTheory.dll,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V100\参考资料\最小费用最大流.exe,散落可执行/程序二进制 (.exe)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V200\DIJK.DLL,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V200\KRUSK.DLL,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V200\tt___GrTheoryEx.dll,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V200\optim\fit_nl.dll,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V200\optim\Shapes.dll,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V200\optim\tt___ToolBox.dll,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V200\附赠实用工具\QQKiller.exe,散落可执行/程序二进制 (.exe)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V200\附赠实用工具\sxs.exe 的查杀.bat,散落可执行/程序二进制 (.bat)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V200\附赠实用工具\VirusKiller.bat,散落可执行/程序二进制 (.bat)
loose_exec,"数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V200\附赠实用工具\清除威金（logo_1,熊猫烧香）病毒最新变种工具.bat",散落可执行/程序二进制 (.bat)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V300\c_src_function.dll,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V300\DIJK.DLL,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V300\exTheory.dll,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V300\KRUSK.DLL,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V300\m123456.dll,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V300\Matlab图论工具箱1_0_0.exe,散落可执行/程序二进制 (.exe)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V300\othGraph.dll,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V300\PRIVATE\DIJK.DLL,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\MATLAB工具箱-图论工具箱\V300\PRIVATE\PRIM1.DLL,散落可执行/程序二进制 (.dll)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\图论算法软件【公众号：数学建模老哥】\Graph.exe,散落可执行/程序二进制 (.exe)
loose_exec,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——灰色预测模型\灰色预测软件\Grey Modeling Software_CHS.exe,散落可执行/程序二进制 (.exe)
loose_exec,数学建模国赛速成资料汇总！\国赛C题必备模型+代码资料合集\国赛C题必备预测模型——灰色预测模型\灰色预测软件\Grey Modeling Software_CHS.exe,散落可执行/程序二进制 (.exe)
software,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——混合整数规划\Matlab工具包混合整数规划.rar,含程序二进制 2 个，如 Mixed Integer Linear Program/lpkit23.dll
software,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模编程学习\数学建模42种常用算法程序包Matlab版（公众号：数学建模老哥）\程序包：数字图像处理matlab代码.rar,含程序二进制 2 个，如 MATLAB版源码/MATLAB版源码/unravel.dll
software,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——混合整数规划\Matlab工具包混合整数规划.rar,含程序二进制 2 个，如 Mixed Integer Linear Program/lpkit23.dll
software,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\图论算法软件Graph安装包 .rar,含可执行程序 1 个，如 图论算法软件/Graph.exe
software,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\图论模型基本原理及案例分享\图论算法软件.rar,含可执行程序 1 个，如 图论算法软件/Graph.exe
software,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\数学建模精美绘图教程配套资料\Visio制作神经网络结构图资料\Visio2019安装包.rar,含可执行程序 5 个，如 visio2019/Office/Data/Setup.exe
software,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——层次分析法\AHP层次分析法软件.rar,含可执行程序 1 个，如 ahp2/ahp.exe
software,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——层次分析法\AHP层次分析法软件及操作方法(含图).rar,含可执行程序 1 个，如 AHP层次分析法软件.msi
software,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——层次分析法\层次分析法软件 yaahp V10.3（全功能免费版）.zip,含可执行程序 1 个，如 yaahp 10.3.5915.31728/yaahpSetup-5915.exe.exe
software,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——灰色关联分析法\灰色关联分析软件.rar,含可执行程序 1 个，如 灰色关联分析软件.exe
software,数学建模国赛速成资料汇总！\国赛C题必备模型+代码资料合集\国赛C题必备优化模型——混合整数规划\Matlab工具包混合整数规划.rar,含程序二进制 2 个，如 Mixed Integer Linear Program/lpkit23.dll
software,数学建模国赛速成资料汇总！\国赛C题必备模型+代码资料合集\国赛C题必备评价模型——层次分析法\AHP层次分析法软件.rar,含可执行程序 1 个，如 ahp2/ahp.exe
software,数学建模国赛速成资料汇总！\国赛C题必备模型+代码资料合集\国赛C题必备评价模型——层次分析法\AHP层次分析法软件及操作方法(含图).rar,含可执行程序 1 个，如 AHP层次分析法软件.msi
software,数学建模国赛速成资料汇总！\国赛C题必备模型+代码资料合集\国赛C题必备评价模型——层次分析法\层次分析法软件 yaahp V10.3（全功能免费版）.zip,含可执行程序 1 个，如 yaahp 10.3.5915.31728/yaahpSetup-5915.exe.exe
software,数学建模国赛速成资料汇总！\国赛C题必备模型+代码资料合集\国赛C题必备评价模型——灰色关联分析法\灰色关联分析软件.rar,含可执行程序 1 个，如 灰色关联分析软件.exe
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——0-1整数规划\0-1整数规划的MATLAB源码.zip,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——0-1整数规划\0-1规划的两种求解（模拟退火及Lingo求解）.rar,普通资料包（10 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——二次规划\二次规划Matlab程序.rar,普通资料包（1 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——二次规划\序列二次规划法及matlab代码.zip,普通资料包（15 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——动态规划\动态规划解决背包问题 MATLAB.zip,普通资料包（3 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——单目标规划与多目标规划\单目标优化（含约束）.zip,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——单目标规划与多目标规划\优化类赛题——单目标规划与多目标规划\单目标优化（含约束）.zip,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——整数规划\整数规划：分支定界算法代码.zip,普通资料包（4 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——整数规划\整数规划：割平面算法代码.zip,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——模拟退火算法\模拟退火工具箱satools.zip,普通资料包（90 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——模拟退火算法\模拟退火算法.rar,普通资料包（6 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——模拟退火算法\模拟退火算法的matlab示例.zip,普通资料包（20 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——粒子群算法\粒子群算法优化RBF网络.rar,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——粒子群算法\粒子群算法遗传算法学习资料+工具箱+代码.zip,普通资料包（49 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——线性规划模型\01型整数线性规划.zip,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——线性规划模型\线性规划.rar,普通资料包（8 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——遗传算法\基于 python 实现的遗传算法解决旅行商（TSP）问题.zip,普通资料包（34 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——遗传算法\遗传算法工具箱\GA.rar,普通资料包（20 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——遗传算法\遗传算法工具箱\GA2.zip,普通资料包（33 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——遗传算法\遗传算法工具箱2\遗传工具箱.rar,普通资料包（58 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——随机规划\基于遗传算法的随机规划（matlab）.zip,普通资料包（10 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——非线性规划\第6讲 非线性规划.rar,普通资料包（17 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备优化模型——非线性规划\非线性规划.rar,普通资料包（17 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备模型——微分方程及差分方程模型和代码\微分方程_MATLAB智能算法代码.zip,普通资料包（23 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备模型——蒙特卡洛模型和代码\用蒙特卡洛法实现对排队等待问题模拟代码【数学建模老哥】.rar,普通资料包（11 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备模型——蒙特卡洛模型和代码\马尔科夫链蒙特卡洛模拟的matlab源代码【数学建模老哥】.rar,普通资料包（28 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模各类创新型算法汇总！\【神经网络】评价预测和优化赛题代码\【评价类】基于随机森林思想的组合分类器设计——乳腺癌诊断【公众号：数学建模老哥】\chapter30\RF_MexStandalone-v0.02.zip,普通资料包（65 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模各类创新型算法汇总！\【预测模型】改进或组合预测模型汇总\【源码】基于贝叶斯优化的LSTM时间序列预测【公众号：数学建模老哥】.zip,普通资料包（4 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模各类创新型算法汇总！\【预测模型】改进或组合预测模型汇总\【预测】贝叶斯优化LSTM预测模型 Matlab代码【公众号：数学建模老哥】.zip,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模各类创新型算法汇总！\【预测模型】改进或组合预测模型汇总（2）\【代码】GA-LSTM 遗传算法优化的lstm 预测代码【公众号：数学建模老哥】.zip,普通资料包（5 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模各类创新型算法汇总！\【预测模型】改进或组合预测模型汇总（2）\【代码】python遗传算法优化lstm实现时间序列预测【公众号：数学建模老哥】.rar,普通资料包（4 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模编程学习\数学建模30种常用算法(Python代码)\判别分析Fisher模型Python代码.rar,普通资料包（4 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模编程学习\数学建模42种常用算法程序包Matlab版（公众号：数学建模老哥）\程序包：GRNN的数据预测-基于广义回归神经网络货运量预测.rar,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模编程学习\数学建模42种常用算法程序包Matlab版（公众号：数学建模老哥）\程序包：RBF神经网络做回归预测代码.zip,普通资料包（1 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模编程学习\数学建模42种常用算法程序包Matlab版（公众号：数学建模老哥）\程序包：《MATLAB+神经网络43个案例分析》源代码&数据.rar,普通资料包（45 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模编程学习\数学建模42种常用算法程序包Matlab版（公众号：数学建模老哥）\程序包：小波神经网络预测代码.zip,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模编程学习\数学建模42种常用算法程序包Matlab版（公众号：数学建模老哥）\程序包：时间序列模型ARIMA的讲解与matlab代码实现（含多个实例）.rar,普通资料包（6 条目）
normal,数学建模国赛速成资料汇总！\国赛A题必备模型+代码资料合集\国赛A题必备：数学建模编程学习\数学建模42种常用算法程序包Matlab版（公众号：数学建模老哥）\程序包：隐马尔可夫预测代码（含有大量案例）.zip,普通资料包（39 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——0-1整数规划\0-1整数规划的MATLAB源码.zip,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——0-1整数规划\0-1规划的两种求解（模拟退火及Lingo求解）.rar,普通资料包（10 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——二次规划\二次规划Matlab程序.rar,普通资料包（1 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——二次规划\序列二次规划法及matlab代码.zip,普通资料包（15 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——动态规划\动态规划解决背包问题 MATLAB.zip,普通资料包（3 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——单目标规划与多目标规划\单目标优化（含约束）.zip,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——单目标规划与多目标规划\优化类赛题——单目标规划与多目标规划\单目标优化（含约束）.zip,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——整数规划\整数规划：分支定界算法代码.zip,普通资料包（4 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——整数规划\整数规划：割平面算法代码.zip,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——模拟退火算法\模拟退火工具箱satools.zip,普通资料包（90 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——模拟退火算法\模拟退火算法.rar,普通资料包（6 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——模拟退火算法\模拟退火算法的matlab示例.zip,普通资料包（20 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——粒子群算法\粒子群算法优化RBF网络.rar,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——粒子群算法\粒子群算法遗传算法学习资料+工具箱+代码.zip,普通资料包（49 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——线性规划模型\01型整数线性规划.zip,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——线性规划模型\线性规划.rar,普通资料包（8 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——遗传算法\基于 python 实现的遗传算法解决旅行商（TSP）问题.zip,普通资料包（34 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——遗传算法\遗传算法工具箱\GA.rar,普通资料包（20 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——遗传算法\遗传算法工具箱\GA2.zip,普通资料包（33 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——遗传算法\遗传算法工具箱2\遗传工具箱.rar,普通资料包（58 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——随机规划\基于遗传算法的随机规划（matlab）.zip,普通资料包（10 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——非线性规划\第6讲 非线性规划.rar,普通资料包（17 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备优化模型——非线性规划\非线性规划.rar,普通资料包（17 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备分类模型——决策树分类及代码\数学建模-决策树的预测模型的Python实现.rar,普通资料包（4 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——图与网络模型\数学建模常用十大算法——图论\哈密尔顿回路\三边交换简单算法\哈密尔顿回路.rar,普通资料包（4 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码\Matlab数学建模精美绘图资料\Matlab数学建模精美绘图代码解析资料.rar,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\Matlab数学建模精美绘图资料\Matlab数学建模精美绘图代码解析资料.rar,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\Visio制作神经网络结构图资料\visio最全模板 .zip,普通资料包（41 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\Visio制作神经网络结构图资料\VISIO模板 .rar,普通资料包（6 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\Visio制作神经网络结构图资料\神经网络结构模板 .rar,普通资料包（1 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\数学建模精美绘图教程配套资料\Matlab数学建模精美绘图资料\Matlab数学建模精美绘图代码解析资料.rar,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\数学建模精美绘图教程配套资料\Visio制作神经网络结构图资料\visio最全模板 .zip,普通资料包（41 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\数学建模精美绘图教程配套资料\Visio制作神经网络结构图资料\VISIO模板 .rar,普通资料包（6 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\数学建模精美绘图教程配套资料\Visio制作神经网络结构图资料\神经网络结构模板 .rar,普通资料包（1 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\数学建模精美绘图教程配套资料\超美绘图软件\超美绘图软件画图更新07_29(2020以上GBK编码).zip,普通资料包（97 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\数学建模精美绘图教程配套资料\超美绘图软件\超美绘图软件画图更新07_29(2020以下GBK编码).zip,普通资料包（90 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\超美绘图软件\超美绘图软件画图更新07_29(2020以上GBK编码).zip,普通资料包（97 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备模型——精美绘图Matlab代码(1)\超美绘图软件\超美绘图软件画图更新07_29(2020以下GBK编码).zip,普通资料包（90 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——topsis模型\TOPSIS模型具体步骤及代码.zip,普通资料包（8 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——主成分分析法\pca主成分分析.zip,普通资料包（12 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——主成分分析法\主成分分析法步骤，例子.rar,普通资料包（1 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——主成分分析法\主成分分析法的MATLAB代码实现.zip,普通资料包（4 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——因子分析法\因子分析法MATLAB程序.rar,普通资料包（1 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——层次分析法\层次分析法建模.rar,普通资料包（1 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——模糊综合评价\模糊综合评价_7个部分_下载后请先解压.zip,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——模糊综合评价\模糊综合评价富营养化评价.rar,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——灰色关联分析法\最容易掌握灰色关联分析法的教程.zip,普通资料包（1 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——灰色关联分析法\灰色关联分析法MATLAB实现.zip,普通资料包（7 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——神经网络算法\神经网络算法MATLAB程序.rar,普通资料包（12 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——神经网络算法\神经网络详细的预测内容.zip,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备评价模型——神经网络算法\神经网络预测.zip,普通资料包（2 条目）
normal,数学建模国赛速成资料汇总！\国赛B题必备模型+代码资料合集\国赛B题必备预测模型——Logistic模型\Logistic回归模型.zip,普通资料包（3 条目）
