t_s,T_env_C,C_env_kgkg
4620.0,48.8250,0.045850
4680.0,48.8270,0.046290
4740.0,48.9880,0.046410
4800.0,48.9790,0.046330
4860.0,48.9000,0.046390
4920.0,49.1440,0.046600
4980.0,48.8700,0.046870
5040.0,48.8400,0.046890
5100.0,48.9130,0.047070
5160.0,49.2610,0.047050
5220.0,49.1690,0.047200
5280.0,49.0560,0.047130
5340.0,49.2570,0.047440
5400.0,49.1160,0.047280
5460.0,49.4150,0.047600
5520.0,49.3210,0.047770
5580.0,49.3170,0.047510
5640.0,49.3040,0.047820
5700.0,49.4920,0.047650
5760.0,49.3840,0.048020
5820.0,49.2720,0.047790
5880.0,49.3100,0.048270
5940.0,49.7490,0.047950
6000.0,49.7430,0.048410
6060.0,49.6600,0.048400
6120.0,49.4630,0.048360
6180.0,49.8300,0.048510
6240.0,49.7530,0.048580
6300.0,49.7390,0.048710
6360.0,49.6220,0.048420
6420.0,49.5500,0.048640
6480.0,49.4770,0.048450
6540.0,49.8910,0.048750
6600.0,49.6830,0.048580
6660.0,49.5690,0.048820
6720.0,49.6330,0.048860
6780.0,49.7810,0.048850
6840.0,49.5920,0.048920
6900.0,49.9410,0.049080
6960.0,49.9020,0.049130
7020.0,49.8920,0.049020
7080.0,49.7590,0.049110
7140.0,49.8650,0.049300
7200.0,49.8520,0.048940
7260.0,49.8930,0.048970
7320.0,49.6190,0.048980
7380.0,49.7920,0.049290
7440.0,49.6120,0.049200
7500.0,49.8450,0.049410
7560.0,49.7700,0.049380
7620.0,49.6830,0.049240
7680.0,49.6690,0.049540
7740.0,49.9160,0.049500
7800.0,49.7140,0.049280
7860.0,50.0950,0.049350
7920.0,49.9290,0.049340
7980.0,49.8170,0.049290
8040.0,49.9430,0.049300
8100.0,49.6640,0.049710
8160.0,50.1350,0.049480
8220.0,49.9020,0.049470
8280.0,50.0560,0.049660
8340.0,49.7100,0.049590
8400.0,49.9150,0.049800
8460.0,49.9200,0.049730
8520.0,50.1470,0.049600
8580.0,49.9670,0.049560
8640.0,49.9210,0.049880
8700.0,49.8210,0.049760
8760.0,49.8560,0.049890
8820.0,49.9530,0.049490
8880.0,49.9150,0.049860
8940.0,49.7080,0.049770
9000.0,50.1630,0.049810
9060.0,50.1980,0.050040
9120.0,49.8200,0.050090
9180.0,50.0270,0.049760
9240.0,49.8040,0.049980
9300.0,50.0860,0.050160
9360.0,49.8910,0.049900
9420.0,50.0800,0.049980
9480.0,50.1130,0.049970
9540.0,50.1340,0.049900
9600.0,49.8040,0.050210
9660.0,50.2080,0.050140
9720.0,49.8650,0.049810
9780.0,49.7690,0.050250
9840.0,50.0270,0.050190
9900.0,49.9350,0.049890
9960.0,50.1650,0.050170
10020.0,50.1540,0.049800
10080.0,49.9090,0.050250
10140.0,50.2260,0.050080
10200.0,49.8950,0.050080
10260.0,50.0080,0.049800
10320.0,49.8780,0.050200
10380.0,50.2180,0.049760
10440.0,49.8320,0.049870
10500.0,49.7720,0.049820
10560.0,49.9680,0.050140
10620.0,50.2460,0.049850
10680.0,50.1960,0.050210
10740.0,50.1240,0.050080
10800.0,50.1950,0.049770
10860.0,50.1970,0.049750
10920.0,50.0090,0.049780
10980.0,49.9080,0.050050
11040.0,50.1360,0.050150
11100.0,50.0810,0.049870
11160.0,49.9370,0.050170
11220.0,49.7970,0.049780
11280.0,50.1230,0.050150
11340.0,49.8810,0.050210
11400.0,50.2180,0.050140
11460.0,49.8700,0.050100
11520.0,49.8110,0.050170
11580.0,50.1660,0.049770
11640.0,49.8270,0.049850
11700.0,49.8400,0.049810
11760.0,50.0500,0.050000
11820.0,50.1870,0.050120
11880.0,49.8480,0.050070
11940.0,49.9050,0.050180
12000.0,50.1390,0.049830
12060.0,50.2360,0.050120
12120.0,50.0000,0.049850
12180.0,49.8220,0.049890
12240.0,49.7570,0.050100
12300.0,49.8650,0.050240
12360.0,49.8160,0.050060
12420.0,50.0890,0.049780
12480.0,49.8110,0.050060
12540.0,50.0030,0.049770
12600.0,50.0970,0.050190
12660.0,50.0410,0.050100
12720.0,49.8500,0.049840
12780.0,50.1520,0.049800
12840.0,50.1080,0.049840
12900.0,50.1190,0.050240
12960.0,49.8160,0.049980
13020.0,49.8120,0.050140
13080.0,50.2140,0.050070
13140.0,49.9490,0.050040
13200.0,49.9000,0.049820
13260.0,49.9940,0.050220
13320.0,50.0810,0.049900
13380.0,50.2280,0.050040
13440.0,49.8930,0.050100
13500.0,50.2120,0.050070
13560.0,49.7620,0.050220
13620.0,50.0280,0.049820
13680.0,50.0670,0.050000
13740.0,49.8030,0.049950
13800.0,49.8200,0.049990
13860.0,49.9600,0.049810
13920.0,50.2330,0.049820
13980.0,50.0480,0.049890
14040.0,50.2170,0.049900
14100.0,50.1520,0.049960
14160.0,49.9840,0.050060
14220.0,50.1420,0.050070
14280.0,49.7590,0.049960
14340.0,49.8050,0.049950
14400.0,50.1650,0.049860
